time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-03T13:38:33.030Z,38.7859993,-122.7613297,2.55,2.77,md,68,41,0.01466,0.09,nc,nc74028476,2024-04-03T18:10:07.178Z,"1 km NNW of The Geysers, CA",earthquake,0.14,0.25,0.18,83,automatic,nc,nc
2024-04-03T11:35:05.695Z,55.9659,-154.9939,43.3,3.3,ml,,,,1.05,ak,ak0244bn9wkp,2024-04-03T12:15:53.040Z,"120 km SSW of Akhiok, Alaska",earthquake,,2.4,,,automatic,ak,ak
2024-04-03T11:25:31.880Z,-14.3702,167.7135,171.558,4.5,mb,33,124,6.962,0.75,us,us7000m9l4,2024-04-03T11:42:38.040Z,"57 km SSE of Sola, Vanuatu",earthquake,10.48,8.239,0.108,27,reviewed,us,us
2024-04-03T10:56:37.543Z,23.9732,121.7136,37.475,4.1,mwr,137,30,0.693,0.5,us,us7000m9kz,2024-04-03T16:12:33.608Z,"11 km E of Hualien City, Taiwan",earthquake,3.46,6.068,0.063,24,reviewed,us,us
2024-04-03T10:40:45.288Z,43.0062,18.701,21.355,4.4,mwr,150,22,0.709,0.75,us,us7000m9ky,2024-04-03T21:39:33.141Z,"19 km SW of Plužine, Montenegro",earthquake,3.82,4.506,0.057,30,reviewed,us,us
2024-04-03T10:18:10.170Z,32.4063333,-115.2343333,12.32,2.65,ml,29,57,0.0612,0.32,ci,ci40704344,2024-04-03T17:06:41.083Z,"7 km NW of Delta, B.C., MX",earthquake,0.42,1.21,0.229,21,reviewed,ci,ci
2024-04-03T10:00:15.710Z,38.7546654,-122.7289963,1.95,2.64,md,52,31,0.007636,0.11,nc,nc74028366,2024-04-03T10:03:13.180Z,"4 km SE of The Geysers, CA",earthquake,0.19,0.34,0.14,62,automatic,nc,nc
2024-04-03T09:02:16.593Z,-5.8957,112.3223,10,4.9,mb,53,63,2.193,0.87,us,us7000m9ke,2024-04-03T17:21:36.819Z,"108 km N of Paciran, Indonesia",earthquake,6.48,1.89,0.083,46,reviewed,us,us
2024-04-03T08:56:29.306Z,24.02,121.6433,18.736,4.7,mb,84,63,0.672,0.64,us,us7000m9kk,2024-04-03T19:51:25.040Z,"6 km NE of Hualien City, Taiwan",earthquake,3.72,3.867,0.065,78,reviewed,us,us
2024-04-03T08:38:01.209Z,23.7149,121.5453,21.729,4.9,mb,51,73,0.394,0.91,us,us7000m9ka,2024-04-03T19:54:15.040Z,"29 km SSW of Hualien City, Taiwan",earthquake,2.57,4.761,0.06,87,reviewed,us,us
